[교육용어]

家族治療	가족치료
干涉理論	간섭이론
感情移入	감정이입
啓蒙主義	계몽주의
競爭 學習	경쟁 학습
經驗授業模型	경험수업모형
高原現象	고원현상
過剩學習	과잉학습
攻擊機制	공격기제
敎授工學	교수공학 
敎育機會經費	교육기회경비
敎育萬能說	교육만능설 
敎育社會學	교육사회학 
敎育生産性	교육생산성 
敎育電算網	교육전산망 
敎育統計	교육통계 
口腔期	구강기 
構成主義 	구성주의 
歸因理論	귀인이론	
記號形態說	기호형태설	
螺旋形 敎育	나선형 교육
烙印理論	낙인이론	
內的 妥當度	내적 타당도	
勞作敎育	노작교육	
論理的 操作	논리적 조작	
多重知能理論	다중지능이론 	
單線型 學制	단선형 학제	
代理强化	대리강화	
代理學習	대리학습	
防禦機制	방어기제	
發達課業	발달과업	
複線型 學制	복선형 학제	
分散法	분산법	
批判哲學	비판철학 
序列尺度	서열척도	
選多型	선다형	
循環敎育	순환교육	
全習法	전습법	
人間資本論	인간자본론 
認知戰略	인지전략	
潛在的 敎育課程	잠재적 교육과정	
適應機制	적응기제 
傳統的 知識觀	전통적 지식관 
絶對基準評價	절대기준평가	
總括評價	총괄평가	
最適模型	최적모형	
出發點 行動	출발점 행동	
探究學習	탐구학습
標準點數	표준점수	
標準化 檢査	표준화 검사	
標準偏差	표준편차	
學點銀行制	학점은행제 
家系硏究	가계연구
假想授業	가상수업 
講義法	강의법
槪念-經驗主義	개념-경험주의 
個別敎授	개별교수
個別化 敎授	개별화 교수
客觀度	객관도
客觀式 評價	객관식 평가
系列性	계열성
系統學習	계통학습 
觀察學習	관찰학습
敎具	교구
敎育稅	교육세
發見學習	발견학습
百分位 點數	백분위 점수
變量分析	변량분석
說明式 授業	설명식 수업
授業媒體	수업매체
完全學習	완전학습
統合性	통합성


[국사용어]

桂苑筆耕	계원필경
廣濟院	광제원
龜州大捷	귀주대첩
金鰲新話	금오신화
禁亂廛權	금난전권
頓悟漸修	돈오점수
度牒制	도첩제
賭租法	도조법
麻科會通	마과회통
東醫壽世保元	동의수세보원
都庫	도고
無垢淨光大陀羅尼經	무구정광대다라니경
磻溪隧錄	반계수록
彌勒寺址 石塔	미륵사지석탑
備邊寺	비변사
浮石寺無量壽殿 	부석사무량수전
蘇塗	소도
星湖僿說	성호사설
瑞甸書塾	서전서숙
育英公院	육영공원
醫方類聚	의방유취
濟危寶	제위보
濟生院	제생원
錢荒	전황
賑貸法	진대법

[경제용어]
價格加重指數	가격가중지수
價格變動準備金	가격변동준비금
價格煽動	가격선동
價格消費曲線	가격소비곡선
價格伸縮性	가격신축성
價格逆指定注文	가격역지정주문
價格波及效果分析	가격파급효과분석
價格의 下向 硬直性	가격의 하향 경직성
價格轉嫁率	가격전가율
價格支持	가격지지
假計定	가계정
裸收益率	나수익률
裸傭船	나용선
裸地/坑地	나지/갱지
樂悲兩觀法	낙비양관법
諾成契約	낙성계약
亂數表檢査方式	난수표 검사방식
納會	납회
內部不經濟	내부불경제
內部移轉價格制度	내부이전가격제도
多角決濟	다각결제
多角貿易	다각무역
多角化會社	다각화회사
多階層證券	다계층 증권
多數株主參加規定	다수 주주 참가규정
差減決濟	차감결제
差金決濟	차금결제
借入金依存度	차입금 의존도
借株	차주
借換	차환
借換發行	차환발행
參加的 優先株	참가적 우선주
參考換率制	참고환율제
他入貸	타입대
夏季株	하계주
下落 買入	하락 매입
下向直角三角形	하향직각 삼각형
價格決定日	가격결정일
價格標示制	가격표시제
價格割增	가격할증
家計貯蓄率	가계저축률
經濟統合	경제통합
內國信用狀制度	내국신용장제도
多國間援助	다국간원조
多段階流通모델	다단계유통모델
買收 / 合倂	매수 / 합병 (M&A)

[경영용어]
見習賃金	견습임금 
固定勞務費	고정노무비 
功勞補償說	공로보상설 
寬待化傾向	관대화경향 
均等待遇	균등대우 
勤續給	근속급 
基準內(外) 賃金	기준내(외) 임금 
勞動分配率	노동분배율 
勞務管理	노무관리 
能力考課	능력고과 
名目賃金	명목임금 
福利厚生	복리후생 
社內公募制	사내공모제 
生活給體系	생활급체계 
消費者物價指數	소비자물가지수 
公的年金	공적연금 
課業管理	과업관리 
課業配分表	과업배분표 
附加價値	부가가치 
附加價値生産性	부가가치생산성 
生産性向上運動	생산성향상운동 
生産獎勵給	생산장려급 
年間賃金協定	연간임금협정 
企業年金	기업연금 
勞動生産性	노동생산성 
考課昇級	고과승급 
考課集團	고과집단 
課制廢止	과제폐지 
總額人件費	총액인건비 
加重平均賃金引上率	가중평균임금인상율  
慣行的賞與說	관행적상여설 
單純平均賃金 引上率	단순평균임금 인상률 
法定福利費	법정복리비 
變形勤勞時間制	변형근로시간제
複線形雇傭管理	복선형고용관리 
業績考課	업적고과 
業績給	업적급 
緣邊勞動力	연변노동력 
賃金計數	임금계수 
年功序列制	연공서열제 
苦情(不滿)處理制度	고정(불만)처리제도  
操業短縮	조업단축
從業員 持株制度	종업원 지주제도 
固定給과 變動給	고정급과 변동급 
共同決定法	공동결정법 
工場委員會	공장위원회 
勞組加入 勤勞者	노조가입 근로자
人事異動	인사이동 
人的資源管理	인적자원관리
職務設計	직무설계 
職務評價	직무평가 
特殊作業手當	특수작업수당 
解雇	해고 
休職	휴직 


[국제금융용어]
減債基金	감채기금
經常收支	경상수지
經常投資 償還比率	경상투자 상환비율
硬貨, 軟貨	경화, 연화
繼續注文	계속주문
公開買收請約	공개매수청약
空賣	공매
公定換率	공정환율
求償貿易	구상무역
關稅同盟	관세동맹
構造調整借款	구조조정차관
國家 傳導	국가 전도
國際分散投資	국제분산투자
金融恐慌	금융공황
金融節制	금융절제
起算日	기산일
緊急輸入制限措置	긴급수입제한조치
多者間投資協定	다자간투자협정
對充資金	대충자금
都賣金融	도매금융
複數通貨條項	복수통화조항
先物換	선물환
少額株主權	소액주주권 
資金豫受	자금예수
財務擔當 最高 責任者	재무담당 최고 책임자(CFO)
一般借入協定	일반차입협정
轉換社債	전환사채(CB)
最高經營管理者	최고경영관리자(COO)
最高經營者	최고경영자(CEO)
最適通貨地域	최적통화지역
最惠國約款	최혜국약관
回轉貸出	회전대출
後配株	후배주
後順位轉換社債	후순위전환사채
可用 外換保有庫	가용 외환보유고
經濟統合	경제통합
空去來	공거래
攻擊的 技法	공격적 기법
公的開發援助	공적개발원조
交換可能通貨	교환가능통화
國際決濟銀行	국제결제은행(BIS)
國際復興開發銀行	국제부흥개발은행(IBRD)
商業會議所	국제상업회의소(ICC)
資金管理	국제자금관리(IMM)
國際資本移動	국제자본이동
金融計定	금융계정
金融先物金利	금융선물금리
金融革新	금융혁신
南北問題	남북문제
多國籍銀行	다국적은행
多者間援助	다자간원조
貿易收支	무역수지
域外資金	역외자금
換去來契約	환거래계약

[무역용어]
覺書貿易	각서무역
開港	개항
見積送狀	견적송장
見質어음	견질어음  
見品搬出	견품반출
經濟協力開發機構  	경제협력개발기구 (OECD) 
關稅	관세
關稅割當制	관세할당제 
關稅協定	관세협정(GATT) 
國內總生産	국내총생산 (GDP) 
報復關稅	보복관세
附加價値稅	부가가치세

[유통물류용어]
價格敏感度	가격민감도
價格先導者	가격선도자
價格先導戰略	가격선도전략
假想企業	가상기업
間接表示換率	간접표시환률
減價償却	감가상각
減資	감자
介入通貨	개입통화
個裝	개장
客單價	객단가
客動線	객동선
居間	거간
經濟的發注量	경제적발주량
景氣豫告指標	경기예고지표
繫留效果	계류효과
繫船池	계선지
計劃的陳腐化	계획적진부화
顧客動線	고객동선
高壓通貨	고압통화
空路貿易	공로무역
過當競爭	과당경쟁
關稅讓許	관세양허
國除環境標準化制度	국제환경표준화제도
斷續生産	단속생산
端數價格	단수가격
當座貸越	당좌대월
獨立採算制	독립채산제
賣渡確約書	매도확약서
複數單位價格設定戰略	복수단위가격설정전략
非關稅貿易障壁	비관세무역장벽
遡及約款	소급약관
受託購買	수탁구매
雙務契約	쌍무계약
閉鎖注文生産	폐쇄주문생산	

[법률용어]
假定抗辯	가정항변
假還付	가환부   
苛酷行爲	가혹행위   
間接敎唆	간접교사
減資差額	감자차액
强姦․醜行罪	강간․추행죄   
强盜殺人致死罪	강도살인치사죄   
個別訊問	개별신문
据置保險	거치보험  
檢索의 抗辯權	검색의 항변권   
牽連犯	견련범   
缺席判決	결석판결  
結審	결심  
競落期日	경락기일   
競落許可決定	경락허가결정
警察緊急權	경찰긴급권  
拷問	고문   
告訴權의 抛棄	고소권의 포기   
融通어음	융통어음
定款變更	정관변경
編輯著作物	편집저작물
抵觸法	저촉법
遺贈	유증
誣告罪	무고죄
詐欺罪	사기죄
彈劾	탄핵
誘導訊問	유도신문
不逮捕特權	불체포특권
贓物罪	장물죄
價格賠償	가격배상 
監督官廳	감독관청  
競賣	경매
競賣保證金	경매보증금   
經營權	경영권   
雇傭	고용
雇傭保險	고용보험   
繼續費	계속비
決選投票	결선투표
國務委員	국무위원
保險委付	보험위부
資本剩餘金	자본잉여금
通貨僞造罪	통화위조죄
委託賣買人	위탁매매인
證據	증거
贈與	증여
金約款	금약관


[정치용어]
批准	비준 
懸案	현안 
彈劾訴追權	탄핵소추권
獵官制	엽관제	
繫留	계류 
飜案	번안
中間選擧	중간선거
院內交涉團體	원내교섭단체


[행정용어]
缺損處分	결손처분
國際環境規格	국제환경규격
歸屬金	귀속금 
排出權 去來制度	배출권 거래제도 
排出賦課金	배출부과금 
附課의 除斥期間	부과의 제척기간
粉飾會計	분식회계
不納缺損額	불납결손액
私募私債	사모사채 
事態收拾訓練	사태수습훈련
押留의 槪念	압류의 개념
汚染防止	오염방지
奧地開發事業	오지개발사업
災害警戒警報	재해경계경보
繰替給	조체급
徵收交付金	징수교부금
徵收猶豫	징수유예
債務負擔行爲	채무부담행위
派遣勤勞制	파견근로제
環境影響評價	환경영향평가
滯納處分	체납처분 
疫學調査	역학조사 
地籍公簿	지적공부
保管金	보관금


[군사용어]
國家安全保障	국가안전보장
軍費管理	군비관리
軍事戰略	군사전략 
軍縮	군축
極限戰爭	극한전쟁 
機動戰	기동전 
大量破壞(殺傷)武器	대량파괴(살상)무기
突發的 局地戰	돌발적 국지전
兵站線	병참선
狀況(情勢)判斷	상황(정세)판단
伸縮對應	신축대응 
安全制御裝置	안전제어장치
威脅	위협 
偶發戰爭	우발전쟁 
誘導彈	유도탄 
抑止戰略	억지전략
遠隔操縱機	원격조종기 
柔軟反應戰略	유연반응전략 
前進防禦	전진방어 
縱深防禦	종심방어 
集團安全保障	집단안전보장
擴戰	확전

[사회용어]
歪曲, 隱蔽	왜곡, 은폐  
社會保障 制度	사회보장 제도  
公職者倫理法	공직자윤리법  
公職者 財産登錄제	공직자 재산등록제 
官僚制	관료제 
非關稅障壁	비관세장벽  
雇傭保險	고용보험 
母子保健法	모자보건법

[시사용어]
價格監視	가격감시
價格景氣	가격경기
架橋銀行	가교은행
假想私設網	가상사설망
簡易定額還給制	간이정액환급제
簡便帳簿	간편장부
減耗償却	감모상각
代替決濟	대체결제
無酸素登頂	무산소등정
法定管理	법정관리
變額保險	변액보험
複式簿記	복식부기
秘資金	비자금
信託計定	신탁계정
企業構造調整會社	기업구조조정회사
工事履行保證書	공사이행보증서 
構造調整	구조조정펀드 / 벌처펀드
氣候變化	기후변화
農業補助金	농업보조금
物納	물납
雙務協商	쌍무협상
豫置金制度	예치금제도
潛在成長率	잠재성장율
政黨名簿制 投票	정당명부제 투표
情報化指標	정보화지표
支給準備金	지급준비금
統合財務諸表	통합재무제표
加算稅	가산세 
家計所得	가계소득
家計手票	가계수표
可處分所得	가처분소득
甲類貿易代理業	갑류무역대리업
富營養化	부영양화 

[과학용어]
加減抵抗器	가감저항기
加減蓄電器	가감축전기
假觀測量	가관측량
架橋高分子	가교고분자
